doi,count
10.1111/plb.12939,39
10.1016/j.orggeochem.2018.03.013,22
10.1111/nph.13199,37
10.1016/j.ijppaw.2019.11.006,12
10.1002/ecy.2137,121
10.1093/biolinnean/blw051,30
10.1093/aobpla/ply029,2
10.1038/s41598-017-12501-5,266
10.1038/s41598-017-11452-1,28
10.1016/j.quascirev.2012.10.021,36
10.1016/j.quaint.2015.02.064,8
10.1371/journal.pone.0025776,101
10.26749/rstpp.148.17,1
10.1111/nph.15031,22
10.1007/s00248-018-1232-y,39
10.1007/s12526-017-0748-6,17
10.3391/mbi.2018.9.3.05,3
10.1111/jbi.12628,19
10.1111/ddi.12759,5
10.15560/9.3.476,6
10.1093/biolinnean/bly013,18
10.1007/s10530-018-1721-4,12
10.1111/aec.12693,3
10.36334/modsim.2019.a1.boston,0
10.1071/WR19079,0
10.1371/journal.pone.0137811,27
10.1371/journal.pone.0154736,15
10.3897/mbmg.2.22467,4
10.1002/ece3.3441,5
10.25226/bboc.v138i4.2018.a6,0
10.1111/aen.12437,1
10.2991/miseic-19.2019.8,0
10.3390/d13010027,3
10.1016/j.tplants.2020.12.018,14
10.3389/fpls.2021.599874,2
10.1111/csp2.143,2
10.3389/fmars.2020.614852,6
10.1111/aen.12521,9
10.1016/j.biocontrol.2021.104540,2
10.1111/aen.12513,17
10.1038/s41598-020-79852-4,4
10.1371/journal.pone.0031840,14
10.1371/journal.pone.0039345,50
10.3897/zookeys.209.3146,16
10.1016/j.fldmyc.2015.09.004,4
10.1071/HR16012,1
10.1093/jpe/rtw003,4
10.1111/aec.12599,5
10.1007/s10658-018-01613-x,7
10.1071/Sb16008,3
10.3417/D-16-00002A,0
10.1007/s13313-016-0443-2,37
10.20417/nzjecol.40.45,11
10.2989/10220119.2017.1301551,52
10.1002/ece3.824,52
10.1080/00049158.2017.1359753,7
10.7751/telopea11767,0
10.5565/rev/orsis.42,5
10.1007/s00442-014-3215-0,11
10.1371/journal.pone.0163995,25
10.1111/aab.12436,1
10.2216/12-089.1,12
10.1016/j.envsci.2014.10.007,19
10.1080/09583157.2013.876616,4
10.1111/aec.12456,9
10.1155/2012/203768,20
10.1111/aec.12348,5
10.1111/gwat.12375,15
10.1111/epp.12089,1
10.22488/okstate.17.100093,0
10.1080/23818107.2017.1381041,29
10.11646/zootaxa.4415.2.1,22
10.3897/biss.3.35493,2
10.12792/icisip2014.049,0
10.15407/ukrbotj75.01.003,0
10.2134/itsrj2016.10.0853,0
10.1109/eScience.2013.38,7
10.1002/tax.621009,9
10.1002/ajb2.1110,6
10.1080/17550874.2016.1244575,7
10.7751/telopea11033,0
10.7751/cunninghamia.2013.13.002,5
10.7751/telopea11313,1
10.1007/s00606-014-1069-x,11
10.7751/telopea9036,0
10.1007/s13199-017-0484-5,1
10.3897/biss.2.25866,1
10.1002/aps3.1026,11
10.1093/bioinformatics/bty792,1
10.1007/s10531-017-1348-2,3
10.3354/meps09847,6
10.1071/is15039,1
10.3417/2011075,1
10.3390/agriculture4040308,9
10.1016/j.gecco.2020.e01272,13
10.1002/ece3.5795,5
10.3897/biss.2.25990,2
10.1038/s41598-020-79551-0,6
10.1016/j.jhazmat.2020.124813,3
10.3390/fire4010001,3
10.1016/j.agee.2020.107296,19
10.3897/biss.2.26665,0
10.3897/biss.2.25121,0
10.3897/biss.2.25194,0
10.3897/biss.2.26077,NA
10.3897/biss.2.28470,0
10.3897/biss.2.25906,0
10.3897/biss.2.25165,0
10.3897/biss.2.25700,1
10.3897/biss.2.26283,0
10.3897/biss.2.26803,1
10.3897/biss.2.24991,0
10.3897/biss.2.25914,0
10.1109/wacv.2018.00027,1
10.1109/CISIS.2009.114,0
10.4108/adim.2010.2,0
10.1038/npre.2009.3620.1,1
10.13140/2.1.3258.3682,NA
10.13140/2.1.3811.4244,NA
10.1109/eScience.2014.30,0
10.13140/2.1.3653.8246,NA
10.1111/mec.12751,86
10.1017/S175526721400058X,5
10.1017/S1755267214001183,3
10.1016/j.gexplo.2014.02.011,15
10.1111/jeb.12292,37
10.1080/21606544.2014.985258,0
10.1186/2041-1480-5-40,7
10.1111/jbi.12298,16
10.4172/2332-2543.1000128,9
10.3390/ijgi3031058,7
10.29243/medkon.19.1.%25p,NA
10.1614/IPSM-D-13-00107.1,4
10.1080/13658816.2013.871016,8
10.1287/isre.2014.0537,78
10.1111/geb.12239,41
10.1111/gcb.12486,92
10.3389/fgene.2014.00394,38
10.1016/j.foreco.2013.12.028,18
10.1002/ece3.1094,46
10.1002/ece3.893,4
10.1890/13-0711.1,55
10.1111/j.1600-0587.2013.00466.x,48
10.1111/ddi.12136,109
10.1111/ddi.12178,15
10.1111/ddi.12129,55
10.1111/ddi.12176,13
10.1111/ddi.12144,455
10.1093/database/bau002,6
10.7751/cunninghamia.2014.14.005,3
10.1016/j.biocon.2014.04.005,14
10.1016/j.biocon.2014.01.005,14
10.3724/SP.J.1003.2014.14107,8
10.17161/bi.v9i1.4611,1
10.1007/s10531-013-0587-0,5
10.1071/Am13040,8
10.1071/AM14005,11
10.1071/AM13015,2
10.1071/Bt14103,9
10.1111/aec.12188,10
10.1578/AM.40.2.2014.162,7
10.1093/aob/mct253,23
10.1093/aob/mcu131,52
10.3161/000345414x685893,11
10.1080/03115518.2014.951916,9
10.1016/j.agee.2014.08.005,51
10.4467/16890027AP.14.011.1448,NA
10.1016/j.ympev.2013.11.012,13
10.1093/forestry/cpu040,21
10.1007/s11056-014-9413-0,8
10.3897/neobiota.23.7745,23
10.1071/PC140048,11
10.1016/j.actao.2014.05.005,18
10.1051/acarologia/20142136,4
10.1134/S106235901506014X,2
10.1071/Mu14047,39
10.1098/rstb.2014.0135,249
10.1371/journal.pone.0126274,40
10.1093/treephys/tpv111,3
10.1016/j.pt.2014.10.007,15
10.1016/j.tplants.2015.08.006,25
10.1071/wr14184,15
10.3897/zookeys.520.6185,10
10.11646/zootaxa.3917.1.1,12
10.11646/zootaxa.4057.2.6,0
10.11646/zootaxa.4019.1.27,3
10.1093/treephys/tpv014,21
10.12933/therya-15-237,8
10.1649/0010-065X-69.mo4.115,1
10.1016/j.tet.2015.06.087,8
10.7751/telopea10042,1
10.7751/telopea8885,0
10.1016/j.scitotenv.2015.01.073,25
10.1016/j.scitotenv.2015.04.100,35
10.1016/j.scitotenv.2015.04.113,58
10.1126/sciadv.1400071,26
10.1016/j.rsase.2015.08.001,12
10.5210/fm.v22i8.7842,8
10.1016/j.envpol.2016.10.010,84
10.17816/edgcc8246-56,4
10.1080/01584197.2017.1388744,14
10.1080/01584197.2017.1411765,11
10.1016/j.ecoser.2017.09.017,45
10.1002/ece3.3253,5
10.1007/s00338-017-1586-5,38
10.1007/s10592-017-0945-7,9
10.1134/s2079086417030021,10
10.17161/bi.v12i0.6522,7
10.7882/az.2016.008,2
10.7882/az.2017.003,0
10.1071/BT16155,7
10.1071/btv65n8_ed,0
10.1111/aen.12251,9
10.1111/aec.12399,7
10.1111/aec.12391,19
10.1080/01650424.2017.1299866,4
10.1071/BT16183,19
10.1080/00049158.2017.1311762,NA
10.1093/aesa/sax058,11
10.15094/00014175,NA
10.7120/09627286.26.1.011,16
10.3732/ajb.1700281,86
10.1111/gbi.12235,14
10.15273/pnsis.v49i1.6974,1
10.11646/phytotaxa.471.2.1,0
10.1016/j.biocon.2020.108831,9
10.11646/zootaxa.4877.2.4,1
10.33494/nzjfs502020x41x,0
10.1016/j.biocon.2020.108855,38
10.3390/d12110417,1
10.1098/rstb.2019.0461,41
10.1111/cobi.13418,10
10.1016/j.gecco.2020.e00978,7
10.1016/j.quaint.2016.07.046,14
10.3897/jhr.79.57308,3
10.1643/ASIHCODONS2020,179
10.3853/j.1835-4211.32.2020.1768,11
10.1016/j.oneear.2020.09.010,39
10.11646/zootaxa.4860.4.1,1
10.3390/d12080306,6
10.1007/s11130-020-00858-4,10
10.1016/j.jcz.2020.09.003,3
10.1080/03122417.2020.1816149,5
10.1007/s11273-020-09748-7,1
10.1111/nph.16929,12
10.1111/aen.12497,1
10.11646/zootaxa.4847.1.1,3
10.1016/j.biocon.2017.06.039,29
10.11646/zootaxa.4231.1.5,3
10.1071/mf17015,6
10.3389/fmicb.2017.01092,34
10.1093/cz/zox021,10
10.1002/ece3.3123,93
10.1080/10549811.2017.1310049,181
10.1111/aec.12474,16
10.3897/evolsyst.1.15735,2
10.3897/evolsyst.1.14652,4
10.1016/j.ufug.2020.126815,7
10.1177/0959683620950410,5
10.1093/jpe/rtaa048,3
10.1093/mollus/eyaa012,3
10.1093/jmammal/gyaa077,5
10.1111/geb.13169,14
10.3390/f11080892,5
10.1111/ele.13584,35
10.1111/ddi.13145,16
10.1007/s10530-020-02359-6,12
10.1071/SB19048,1
10.3390/en10111689,32
10.3897/zookeys.681.12522,11
10.1098/rsbl.2016.0665,19
10.1016/j.cropro.2017.05.023,30
10.3390/land6040068,14
10.1007/s13314-017-0277-y,5
10.20938/afo34091094,0
10.1109/DICTA.2016.7796989,0
10.1109/DICTA.2016.7797010,4
10.1109/ICIP.2013.6738910,12
10.1109/ICCVW.2013.27,5
10.3897/biss.2.28131,0
10.3897/biss.3.35887,0
10.11646/zootaxa.4240.1.1,10
10.11646/zootaxa.3790.4.2,5
10.1177/1075547014560829,6
10.3897/zookeys.209.3169,46
10.3897/zookeys.305.5438,25
10.3897/biss.3.38919,0
10.3897/biss.3.38262,0
10.3897/biss.3.37791,0
10.3897/biss.3.37441,0
10.3897/biss.3.35867,0
10.3897/biss.3.37071,0
10.1111/nph.15502,160
10.3354/meps12610,33
10.1038/s41559-018-0608-1,48
10.3897/tdwgproceedings.1.20290,0
10.3897/tdwgproceedings.1.19826,0
10.3897/biss.2.25439,0
10.3897/rio.2.e9933,6
10.5060/D2NC5Z4X,NA
10.3897/tdwgproceedings.1.20240,2
10.3897/biss.2.25488,0
10.5334/jime.560,3
10.1007/s00040-020-00764-7,1
10.11646/zootaxa.4560.3.9,0
10.1016/j.funeco.2019.100869,12
10.1016/j.biocon.2018.12.011,15
10.1002/ece3.5609,22
10.7882/AZ.2019.023,8
10.1371/journal.pgen.1007943,79
10.1016/j.jenvman.2019.109777,13
10.1111/rec.12976,13
10.1111/conl.12648,11
10.1098/rsos.191166,10
10.1111/nph.16349,12
10.1016/j.biocon.2019.07.013,29
10.1111/aab.12499,6
10.1016/j.quascirev.2018.11.002,10
10.1016/j.ecoinf.2019.100991,13
10.1016/j.biocon.2019.04.015,14
10.1016/j.foreco.2019.117675,5
10.1007/s13313-019-0612-1,3
10.3390/genes10080579,9
10.11646/zootaxa.4609.2.1,4
10.1016/j.marenvres.2019.104813,16
10.1111/aen.12387,3
10.2478/mgr-2019-0019,6
10.1080/10941665.2018.1541186,2
10.18195/issn.0312-3162.34(2).2019.055-114,9
10.1093/treephys/tpz095,12
10.1111/cla.12381,10
10.1002/ece3.4858,14
10.3996/072018-JFWM-064,1
10.1007/s13313-019-00642-2,7
10.1111/nph.16042,48
10.11646/zootaxa.4686.4.5,1
10.1016/j.funeco.2019.03.001,6
10.12697/fce.2019.56.10,9
10.3375/043.039.0309,0
10.1111/oik.06389,10
10.1086/701632,28
10.1086/703535,19
10.3897/BDJ.7.e33679,36
10.3906/bot-1805-68,1
10.3390/v11010089,11
10.1016/j.marenvres.2019.104777,7
10.7717/peerj.8225,59
10.1038/s41598-020-60079-2,14
10.1007/s10531-020-01936-4,9
10.11646/zootaxa.4742.3.13,0
10.1007/s11104-019-04133-7,3
10.1071/CP19261,6
10.1111/rec.13028,20
10.1111/aen.12410,5
10.7717/peerj.8086,21
10.1002/nafm.10271,4
10.7717/peerj.6252,9
10.3897/BDJ.7.e36385,0
10.3417/2019402,6
10.1016/j.sajb.2019.08.014,16
10.25226/bboc.v139i2.2019.a9,0
10.5281/zenodo.2854383,NA
10.1016/j.ympev.2019.106557,15
10.1038/s41598-019-38661-0,9
10.1111/ppa.13135,10
10.1016/j.biocon.2020.108506,12
10.1111/1095-9270.12412,6
10.1177/1470357220915652,3
10.1089/vbz.2019.2585,6
10.1038/s41576-020-0228-x,96
10.1111/aen.12444,16
10.1016/j.biocon.2019.108357,2
10.1016/j.virusres.2020.197934,4
10.1016/j.gecco.2020.e01048,13
10.1002/ecs2.2998,5
10.1007/s10531-020-01937-3,17
10.3897/rio.6.e50675,14
10.1371/journal.pone.0231727,9
10.1016/j.jclepro.2020.121735,32
10.1016/j.toxicon.2020.03.010,1
10.1109/eScience.2017.90,2
10.1371/journal.pone.0068535,146
10.1002/ece3.4934,17
10.1111/emr.12000,20
10.3391/bir.2019.8.4.02,4
10.1093/bioinformatics/btu024,4
10.20938/afo36056059,0
10.18473/lepi.74i1.a4,0
10.1111/aen.12483,7
10.1016/j.biocontrol.2019.104165,6
10.3390/toxins11120726,20
10.15302/J-FASE-2019270,3
10.1146/annurev-biodatasci-010820-091627,21
10.7717/peerj.9348,4
10.3366/anh.2014.0210,7
10.7882/AZ.2019.031,2
10.1111/cobi.13447,27
10.1071/AM18038,3
10.1093/biolinnean/blz046,9
10.1007/s10531-019-01697-9,33
10.1017/S0030605318000923,3
10.3897/rio.5.e36152,5
10.1038/s41598-019-46376-5,9
10.1038/s41598-019-41948-x,8
10.1016/j.biocon.2018.12.032,47
10.1093/biolinnean/blz125,7
10.1080/08941920.2018.1559383,0
10.1016/j.flora.2019.151466,15
10.1093/biosci/biz140,85
10.3897/evolsyst.3.34496,1
10.1007/s00442-018-04328-2,14
10.3897/rio.5.e46404,10
10.1016/j.biocon.2019.02.005,7
10.1098/rsos.181325,10
10.1016/j.ecolmodel.2019.108817,90
10.1111/1365-2656.13073,7
10.1038/s41598-019-44483-x,22
10.1016/j.pld.2019.09.001,10
10.11646/zootaxa.4564.1.2,2
10.11646/zootaxa.4695.3.1,0
10.3391/ai.2019.14.3.10,7
10.1016/j.gecco.2019.e00649,11
10.1111/mam.12157,7
10.1016/j.scitotenv.2019.07.024,4
10.1080/13235818.2018.1468206,0
10.1016/j.gecco.2019.e00584,17
10.1093/jpe/rtz031,9
10.3390/publications7020038,15
10.1093/botlinnean/boy074,15
10.1093/botlinnean/boz009,16
10.1086/702643,2
10.1016/j.ympev.2019.03.016,11
10.1093/treephys/tpz121,34
10.1111/eva.12761,12
10.3390/su11102780,50
10.1016/j.ympev.2019.02.011,10
10.1111/aen.12453,7
10.7717/peerj.6739,17
10.1111/gcb.14607,8
10.1017/S0007485318001037,7
10.1111/2041-210X.13090,63
10.1016/j.fitote.2020.104610,13
10.3390/land9050171,6
10.3853/j.2201-4349.72.2020.1762,0
10.1016/j.ecss.2020.106930,5
10.1002/ece3.6472,7
10.7882/AZ.2020.008,0
10.1177/155019061601200208,3
10.3828/indexer.2017.43,0
10.1016/j.revpalbo.2020.104273,4
10.1007/s10796-019-09915-z,41
10.1111/tgis.12656,2
10.1111/aen.12488,12
10.1073/pnas.1921124117,34
10.1016/j.agee.2020.107068,10
10.3897/rio.6.e56211,4
10.1080/14786419.2020.1788021,7
10.3197/096734017X15046905071852,1
10.7882/AZ.2017.009,0
10.1002/ecm.1287,30
10.1016/j.envsoft.2016.05.010,13
10.1111/geb.12637,22
10.20938/afo34076079,0
10.1002/eap.1824,33
10.1371/journal.pone.0210560,6
10.1016/j.biocon.2019.03.015,25
10.1007/s10340-019-01115-7,23
10.1002/ecy.2787,10
10.1080/14486563.2019.1599742,9
10.1111/evo.13859,13
10.1371/journal.pone.0223712,8
10.1007/s10531-019-01885-7,4
10.1016/j.gecco.2019.e00852,14
10.3390/f11010062,8
10.1177/0959683619895589,5
10.1016/j.biocon.2019.108399,11
10.1111/aec.12853,6
10.1111/jzs.12355,0
10.1111/ddi.13040,9
10.1016/j.ecss.2020.106692,2
10.1111/een.12856,10
10.1016/j.gecco.2020.e01013,5
10.1071/AM19037,8
10.1111/aec.12884,4
10.1080/03721426.2020.1740957,1
10.1111/jbi.13852,13
10.1111/aec.12885,0
10.1016/j.marenvres.2020.104993,17
10.3390/f11050495,4
10.1016/j.ecolind.2020.106436,29
10.1016/j.ecolmodel.2020.109071,12
10.1111/jbi.13870,9
10.1002/wcc.657,5
10.1093/sysbio/syaa046,20
10.1071/rs20002,5
10.11646/zootaxa.4802.1.4,0
10.1098/rspb.2019.2817,12
10.3390/insects11060390,3
10.1080/03721426.2020.1786779,1
10.1002/fee.2032,79
10.1111/ecog.04530,10
10.1109/ICIP.2019.8803746,6
10.1111/aen.12416,11
10.1002/ppp3.10064,16
10.1080/00049158.2019.1680594,3
10.3897/mycokeys.35.25665,27
10.1111/cobi.13183,120
10.1111/aec.12608,39
10.1016/j.dsr2.2018.07.015,14
10.1016/j.sajb.2018.04.020,4
10.1071/AM18018,6
10.3390/d10030099,22
10.7882/AZ.2016.016,1
10.1016/j.biocon.2018.09.016,27
10.1590/2175-7860201869401,11
10.48550/arXiv.1810.00224,NA
10.1080/03721426.2017.1394778,0
10.11646/zootaxa.4446.1.1,0
10.1111/aen.12271,3
10.2478/botcro-2018-0009,4
10.1007/s10530-018-1866-1,17
10.1146/annurev-ento-031616-035536,41
10.1016/j.marpol.2018.08.011,7
10.1088/1748-9326/aae7f9,18
10.1371/journal.pone.0194319,17
10.1071/CP18110,1
10.1371/journal.pone.0194571,71
10.1111/jbi.13122,18
10.11646/zootaxa.4450.2.2,0
10.1515/opis-2018-0001,12
10.1071/ZO18021,9
10.1071/PC18016,5
10.1017/jpa.2017.86,2
10.3390/ani10071112,7
10.25226/bboc.v140i2.2020.a6,1
10.1111/j.1472-4642.2010.00725.x,3732
10.1002/ece3.6288,5
10.1093/biosci/biaa064,42
10.1080/03122417.2020.1769250,2
10.15258/sst.2020.48.2.03,3
10.1007/s42161-020-00498-2,6
10.1098/rspb.2019.1103,5
10.11646/zootaxa.2217.1.3,41
10.3897/zookeys.865.34265,2
10.3897/zookeys.873.35421,2
10.3897/zookeys.831.28588,7
10.1071/WR18128,8
10.1007/s00334-019-00744-3,4
10.1111/syen.12424,11
10.18195/issn.0313-122x.85.2020.105-115,2
10.1098/rspb.2019.2546,11
10.1098/rspb.2018.1713,14
10.1071/PC19002,1
10.1111/1755-0998.13170,16
10.1071/MA19038,1
10.1071/MA19035,0
10.1111/jfb.14167,5
10.1111/jbi.13709,6
10.1163/1876312X-00001010,0
10.1007/s10750-019-03985-5,14
10.1007/s10745-019-0053-z,24
10.1111/1365-2435.13337,14
10.1111/1365-2435.13320,47
10.1111/fwb.13396,3
10.1111/ele.13389,2
10.1002/ecm.1370,177
10.1111/ddi.12982,18
10.1111/ddi.13070,9
10.1007/s10530-020-02269-7,9
10.1007/s10531-016-1207-6,48
10.1111/j.1440-6055.2012.00877.x,5
10.1071/BT19073,7
10.1071/BT20030,3
10.1111/aec.12804,3
10.1111/aec.12776,8
10.1111/aec.12907,4
10.1111/aec.12844,0
10.1111/aec.12900,1
10.1111/aec.12846,2
10.1111/aec.12719,4
10.48550/arXiv.2002.12021,NA
10.48550/arXiv.2002.01155,NA
10.1126/science.aao0054,8
10.20944/preprints202004.0465.v1,0
10.1007/s11120-017-0359-x,17
10.1098/rstb.2017.0391,93
10.1098/rstb.2015.0337,44
10.1186/1742-9994-10-55,34
10.1186/s13742-016-0126-5,163
10.1080/13658816.2012.698015,120
10.1080/13658816.2015.1077962,40
10.1371/journal.pone.0094346,69
10.17520/biods.2017184,3
10.1371/journal.pone.0172457,6
10.1186/s40494-017-0148-z,7
10.20362/am.009004,NA
10.1111/conl.12260,49
10.1016/j.vetpar.2017.09.005,5
10.1038/srep46040,38
10.1111/aen.12255,6
10.1071/BT16015,22
10.1098/rspb.2017.0926,29
10.1002/ece3.3084,1
10.1007/s10750-016-2942-0,4
10.2218/ijdc.v11i2.409,1
10.1111/pce.13133,64
10.1111/aec.12536,5
10.20938/afo37105111,0
10.1002/ece3.6593,9
10.1186/s12862-020-01671-y,11
10.3853/j.2201-4349.72.2020.1763,3
10.1111/eva.12958,8
10.1111/aen.12485,1
10.1007/s11829-020-09777-2,3
10.1163/1876312X-00002171,8
10.1016/j.quaint.2016.08.010,9
10.4001/003.026.0237,4
10.1002/2017GC007287,1
10.3897/rio.4.e32449,5
10.1016/j.ecss.2018.03.017,8
10.1186/s40709-017-0072-0,24
10.1098/rspb.2018.1987,18
10.7751/telopea12960,0
10.1093/botlinnean/boy072,5
10.1111/aen.12374,1
10.1111/emr.12334,3
10.1111/ppa.12955,26
10.1016/j.foreco.2017.10.043,8
10.11646/phytotaxa.350.3.2,2
10.1111/geb.12767,17
10.1016/j.jenvman.2017.10.036,12
10.1038/s41467-018-07217-7,63
10.16995/olh.291,2
10.1071/WR17179,4
10.1080/23818107.2018.1487884,62
10.1007/s10530-018-1782-4,12
10.1111/jbi.13159,16
10.1007/s13313-018-0579-3,17
10.1016/j.jenvman.2018.04.114,4
10.1071/FP17134,10
10.1371/journal.pone.0197545,22
10.1071/MF18060,5
10.1071/PC17027,1
10.29333/ejmste/100639,9
10.1071/PC17034,11
10.11646/zootaxa.4497.4.3,0
10.1080/0028825X.2017.1412991,1
10.1111/ddi.12852,13
10.1017/wsc.2018.16,4
10.1016/j.gecco.2018.e00403,7
10.1016/j.landusepol.2018.03.049,29
10.1007/s10750-018-3781-y,12
10.1016/j.foreco.2018.08.019,63
10.1111/aen.12343,58
10.1071/PC18002,0
10.1002/ece3.4339,16
10.1007/s00468-018-1692-1,3
10.1186/s13071-018-2733-8,52
10.1002/ece3.4387,58
10.1038/s41559-018-0667-3,123
10.1111/geb.12745,13
10.1111/aec.12628,64
10.1111/aen.12329,3
10.1007/s00334-018-0688-5,5
10.1093/biosci/bix143,21
10.1108/Par-03-2016-0033,4
10.1127/nova_hedwigia/2015/0287,2
10.18848/1835-2014/CGP/v08i01/44478,1
10.3354/meps12601,6
10.1111/aen.12199,5
10.1111/aec.12319,9
10.1111/aec.12388,10
10.1002/ajoc.201600462,9
10.1093/aesa/sav105,2
10.1478/AAPP.942A4,NA
10.1080/10344233.2016.1238990,2
10.1016/j.agrformet.2015.12.002,52
10.1016/j.actao.2015.10.009,29
10.1206/3860.1,2
10.1371/journal.pone.0178609,3
10.18195/issn.0312-3162.32(2).2017.101-190,1
10.1111/pala.12312,9
10.3354/meps12080,38
10.1111/ecog.03049,1143
10.11646/zootaxa.4347.2.7,1
10.11646/zootaxa.4362.2.2,2
10.11646/zootaxa.4317.2.13,1
10.1614/ws-d-15-00184.1,31
10.13057/tropdrylands/t010106,3
10.7751/telopea11022,0
10.1038/s41598-017-13307-1,47
10.1038/s41598-017-05855-3,14
10.1038/s41598-017-13245-y,37
10.26807/remcb.v36i1-2.278,0
10.3897/rio.3.e12165,2
10.1016/j.rsma.2017.03.005,33
10.18195/issn.0312-3162.32(2).2017.217-236,0
10.1071/RS17003,0
10.1098/rspb.2017.0915,13
10.1371/journal.pone.0178731,36
10.1371/journal.pone.0169629,26
10.1371/journal.pone.0172230,9
10.1371/journal.pone.0188058,38
10.1371/journal.pone.0184193,12
10.1371/journal.pone.0178681,22
10.1371/journal.pone.0177018,17
10.3390/plants6040058,12
10.1016/j.pld.2017.11.001,7
10.1111/pce.12948,65
10.11646/phytotaxa.298.3.10,1
10.11646/phytotaxa.300.1.1,9
10.7717/peerj.3446,39
10.1007/s00442-017-3856-x,28
10.1080/00288233.2017.1398763,0
10.1080/00288233.2017.1400445,4
10.1007/s00572-017-0769-9,14
10.1080/21501203.2016.1278409,7
10.1080/13235818.2016.1207280,9
10.1016/j.ympev.2016.09.002,7
10.1111/2041-210x.12738,67
10.1093/mspecies/sex007,0
10.23818/limn.36.02,0
10.1017/S0024282917000251,6
10.1016/j.landurbplan.2017.05.001,7
10.1080/20430795.2017.1375776,7
10.1016/j.jplph.2017.01.010,25
10.1111/jph.12593,28
10.1093/jmammal/gyx010,61
10.1093/jcbiol/rux030,6
10.1111/jbi.13039,14
10.1111/jbi.12878,11
10.1111/jbi.12926,31
10.1111/jbi.13057,18
10.1111/jai.13414,4
10.3390/ijgi6090277,11
10.1071/IS16031,1
10.1017/inp.2017.17,0
10.1163/1876312x-00002166,1
10.1111/ecog.02813,21
10.1111/ecog.02010,50
10.1111/ddi.12625,9
10.3390/d10010001,3
10.5334/dsj-2017-013,1
10.1071/CP15380,3
10.1007/s10530-017-1381-9,10
10.1007/s10530-016-1334-8,6
10.1016/j.biocon.2017.01.004,32
