Nr,Journal_name,Journal_IF
323,ANNALS OF SURGERY,13.787
324,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,13.78
325,RESOURCES CONSERVATION AND RECYCLING,13.716
326,JOURNAL OF ANXIETY DISORDERS,13.711
327,ACS Catalysis,13.7
328,eTransportation,13.661
329,Trends in Environmental Analytical Chemistry,13.622
330,Environmental Chemistry Letters,13.615
331,IEEE Vehicular Technology Magazine,13.609
332,CANCER TREATMENT REVIEWS,13.608
333,CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,13.6
334,Journal of Energy Chemistry,13.599
335,Advanced Photonics,13.582
336,Clinical Gastroenterology and Hepatology,13.576
337,REVIEW OF EDUCATIONAL RESEARCH,13.551
338,Evidence-Based Mental Health,13.538
339,JOURNAL OF MANAGEMENT,13.508
340,Energy & Environmental Materials,13.443
341,MOLECULAR PSYCHIATRY,13.437
342,SURFACE SCIENCE REPORTS,13.417
343,DEVELOPMENTAL CELL,13.417
344,International Journal of Surgery,13.4
345,PHARMACOLOGY & THERAPEUTICS,13.4
346,WATER RESEARCH,13.4
347,Autophagy,13.391
348,INTERNATIONAL JOURNAL OF COMPUTER VISION,13.369
349,Materials Today Nano,13.364
350,Bone Research,13.362
351,JAMA Network Open,13.353
352,ENVIRONMENT INTERNATIONAL,13.352
353,Annual Review of Animal Biosciences,13.341
354,Annual Review of Cancer Biology-Series,13.34
355,CANCER RESEARCH,13.312
356,CLINICAL MICROBIOLOGY AND INFECTION,13.31
357,Foundations and Trends in Information Retrieval,13.286
358,AMERICAN JOURNAL OF HEMATOLOGY,13.265
359,PLANT BIOTECHNOLOGY JOURNAL,13.263
360,GLOBAL CHANGE BIOLOGY,13.211
361,JOURNAL OF BUSINESS VENTURING,13.139
363,Journal of Sport and Health Science,13.077
364,JOURNAL OF INTERNAL MEDICINE,13.068
365,Molecular Systems Biology,13.068
366,NEURO-ONCOLOGY,13.029
367,Advanced Fiber Materials,12.958
368,CHINESE JOURNAL OF CATALYSIS,12.92
369,MOLECULAR THERAPY,12.91
370,JOURNAL OF ECONOMIC LITERATURE,12.905
371,ANAESTHESIA,12.893
372,GENES & DEVELOPMENT,12.89
373,LEUKEMIA,12.883
374,ANNALS OF TOURISM RESEARCH,12.853
375,Engineering,12.834
376,Journal of Advanced Research,12.822
377,BIOLOGICAL PSYCHIATRY,12.81
378,AGE AND AGEING,12.782
379,Green Energy & Environment,12.781
381,MEDICAL JOURNAL OF AUSTRALIA,12.776
382,JOURNAL OF BIOMEDICAL SCIENCE,12.771
383,BIOSENSORS & BIOELECTRONICS,12.545
384,JACC-Heart Failure,12.544
385,ADMINISTRATIVE SCIENCE QUARTERLY,12.529
386,Journal for ImmunoTherapy of Cancer,12.469
387,AMERICAN SOCIOLOGICAL REVIEW,12.444
388,EUROPEAN JOURNAL OF EPIDEMIOLOGY,12.434
389,Liver Cancer,12.43
